Term,Label
Cross-modal retrieval,Non-term
Object contour,Term
Activation map,Term
Topographical information system,Non-term
Fraud prevention strategy,Non-term
Nobel laureate Gerd Binnig,Non-term
Dimension reduction,Term
Statistical shape,Term
Internal energy function,Term
Computer graphics research group,Non-term
GVF vector,Term
Union-find data structure,Term
Dimensional image,Term
Digital cadastral map,Non-term
Upsampling encoder-decoder architecture,Term
Non-submodular term,Non-term
Including scale image transformation,Term
Reference image space,Term
Ecognition software,Non-term
Energy formulation,Non-term
Clip pair,Term
Pattern recognition task,Term
Stereo corresponding points,Term
Image pixel,Term
Extensible device metadata,Non-term
Conoscopic holography,Non-term
Fixation point,Term
Neural network convolution,Term
Convolutional layer neuron,Term
Nonrigid transformation,Term
Feature map size decrease,Term
Medical imaging method,Term
Output feature map,Term
Trigonometry relation,Non-term
Lens increase refractive power,Non-term
Developed animal species image recognition,Term
Higher-order function,Term
Oversampled binary image sensor,Term
Information security conference,Non-term
Gradient vector flow,Term
Character recognition,Term
Educational neurosurgical,Non-term
Recommendation system,Term
Signal space,Non-term
Multi sensor data fusion,Term
Geometric characteristic,Non-term
High-dimensional input,Term
Convolutional deep belief,Term
Power watershed,Non-term
Real-world object,Term
Normalization transformation,Term
Convolutional neural net,Term
Optimality property,Non-term
Gaussian distribution,Non-term
Image dissimilarity measure,Term
Chance alignment probability,Non-term
Round-trip time,Non-term
Edge map spatial gradient,Term
Restricted Boltzmann machine,Term
Spatial transformation,Term
Eigenvector decomposition,Non-term
Mechanical component,Non-term
Triangulation mechanism,Term
Stochastic component,Term
Regularization method,Term
Computed tomography (CT),Term
Mosaicing,Term
Inception v4 modification,Non-term
Achieving color normalization,Term
CoaXPress communication protocol,Non-term
Indect,Non-term
2-by-2 max-unpooling layer,Term
Energy term,Non-term
Entertainment industry,Non-term
Radiation planning images result,Term
Conventional edge map,Non-term
Computer vision literature,Term
Two-dimensional X-ray,Term
Binocular disparity,Term
Early work,Non-term
Computational measure,Non-term
Similarity measure,Term
Ecognition,Non-term
Infinitesimally different straight path,Term
Part model,Term
Two-dimensional histogram,Term
Transformation model,Term
Cell flatness metrology,Non-term
Digital image processing proliferated,Term
Captchas permit user implementation,Non-term
Pattern recognition,Term
Output volume,Non-term
Image classification algorithm,Term
Three-dimensional object,Term
Higher-order pseudo-boolean function,Term
Downsampling,Term
Match list,Non-term
Face shape,Term
Rotational motion model,Term
Hyperparameter,Term
