Term,Label
Low-light enhancement task,Term
Less-than-or-equal sign,Non-term
Fixed-length vector output,Non-term
Interdisciplinary research laboratory,Non-term
Zero-crossing,Term
Disney studio entertainment,Non-term
Spatial transformer network,Term
Scale-space description,Term
Standalone greyscale texture,Non-term
Gaussian scale-space representation,Term
Image fusion technique,Term
Speech recognition,Term
Viola-Jones classifier,Term
Aphelion ActiveX component,Non-term
Holographic display,Term
Exploding gradients problem,Term
Influential CNN architecture,Term
Object classification,Term
Parallax-displaced left cyan color channel,Non-term
Photonic time stretch physics,Non-term
Common image processing,Term
Photographic recording,Non-term
Computer vision framework,Term
Stereoscopic double imaging,Term
Convolutional neural network architecture,Term
Input volume,Non-term
Strobe backlight technology,Non-term
Insecure implementation,Non-term
Law enforcement,Non-term
Classification process,Term
Feature detection operation,Term
Modern CNN implementation,Term
Gradient direction,Term
Histogram equalization method,Term
NVIDIA Jetpack SDK version,Non-term
Second-order differential invariant,Term
Automatic conversion,Non-term
Generating random-dot stereogram,Term
Evolving background object,Term
Convergence angle,Non-term
Hardware native operation,Non-term
Scale space continuation,Term
Cyan color,Non-term
Closed-form expression,Non-term
Reconstruction mathematical description,Term
Liquid crystal,Non-term
Feature map,Term
Connected layer,Term
Trigonometry relation,Non-term
Gaussian scale space,Term
Servoing architecture look-and-move,Non-term
Autostereoscopic,Term
Automatic inspection system,Term
Deformable model formulation,Term
Existing ground plan data,Non-term
Business asset acquired definien,Non-term
Alternative definition,Non-term
Ethernet-linked adjunct server,Non-term
Blue chromaticity histogram,Term
Negative log-likelihood function,Term
Performing localization,Non-term
Lens focal length,Term
Dynamic texture analysis method,Term
Minkowski sum closed-form expression,Non-term
Object state probability distribution,Term
Ferromagnetic metallic,Non-term
Computer image analysis,Term
Suitable configuration,Non-term
Image registration fundamental,Term
Self-similar scale-space kernel,Term
Object polygonal representation,Term
Medical planning system,Non-term
Polar region visceral experience,Non-term
3D computer graphics production workflow,Non-term
Ionizing radiation exposure,Non-term
Three-dimensional mask,Term
Object angular spectrum,Term
Named Avizo complementary product,Non-term
Ultimate 3D collection,Non-term
Isosurface extraction algorithm mean,Term
Advanced driver-assistance system,Term
Military application,Non-term
Template transformation,Term
Measuring background absorption,Non-term
Background image generation,Term
Levenberg-Marquardt algorithm,Term
Texture detection algorithm,Term
Volumetric capture field,Term
Object surface normal information,Term
Temporal probability density function,Non-term
Label equivalence relationship,Non-term
Space complexity,Non-term
N-dimensional point cloud,Term
Generic captcha-solving algorithm,Term
Greyscale example autostereogram,Term
Parent company Cineworld,Non-term
Tesla,Non-term
Checking neighbor pixel,Term
Octane rendering engine,Non-term
Physical representation 3D,Term
